datetime,count
2011-01-20 00:00:00,13.7
2011-01-20 01:00:00,7.2
2011-01-20 02:00:00,6.2
2011-01-20 03:00:00,3.3
2011-01-20 04:00:00,2.5
2011-01-20 05:00:00,8.1
2011-01-20 06:00:00,35.7
2011-01-20 07:00:00,97.6
2011-01-20 08:00:00,209.0
2011-01-20 09:00:00,117.9
2011-01-20 10:00:00,60.5
2011-01-20 11:00:00,59.8
2011-01-20 12:00:00,77.5
2011-01-20 13:00:00,68.2
2011-01-20 14:00:00,73.3
2011-01-20 15:00:00,77.7
2011-01-20 16:00:00,85.7
2011-01-20 17:00:00,190.6
2011-01-20 18:00:00,165.1
2011-01-20 19:00:00,118.8
2011-01-20 20:00:00,77.2
2011-01-20 21:00:00,55.2
2011-01-20 22:00:00,38.9
2011-01-20 23:00:00,24.5
2011-01-21 00:00:00,12.6
2011-01-21 01:00:00,6.5
2011-01-21 02:00:00,6.9
2011-01-21 03:00:00,2.5
2011-01-21 04:00:00,1.9
2011-01-21 05:00:00,7.1
2011-01-21 06:00:00,35.7
2011-01-21 07:00:00,97.7
2011-01-21 08:00:00,199.3
2011-01-21 09:00:00,127.3
2011-01-21 10:00:00,22.3
2011-01-21 11:00:00,38.8
2011-01-21 12:00:00,40.1
2011-01-21 13:00:00,37.0
2011-01-21 14:00:00,31.6
2011-01-21 15:00:00,31.6
2011-01-21 16:00:00,69.1
2011-01-21 17:00:00,153.2
2011-01-21 18:00:00,150.2
2011-01-21 19:00:00,119.2
2011-01-21 20:00:00,68.9
2011-01-21 21:00:00,53.5
2011-01-21 22:00:00,32.4
2011-01-21 23:00:00,17.8
2011-01-22 00:00:00,21.2
2011-01-22 01:00:00,13.6
2011-01-22 02:00:00,11.6
2011-01-22 03:00:00,10.8
2011-01-22 04:00:00,3.2
2011-01-22 06:00:00,8.7
2011-01-22 07:00:00,16.0
2011-01-22 08:00:00,29.3
2011-01-22 09:00:00,32.3
2011-01-22 10:00:00,45.7
2011-01-22 11:00:00,54.4
2011-01-22 12:00:00,67.7
2011-01-22 13:00:00,68.8
